"","workerid","noun","nounclass","makesSense","condition","predicateposition","predicate","correctresponse","correctclass"
"87",21,"cheese","food",1,"both","predicate1","dry",0.51,"texture"
"88",21,"box","furniture",1,"both","predicate1","green",0.5,"color"
"89",21,"tomato","food",1,"both","predicate1","long",0.51,"size"
"90",21,"potato","food",1,"both","predicate1","round",0.51,"shape"
"91",21,"table","furniture",1,"both","predicate1","soft",1,"texture"
"92",21,"watermelon","food",1,"both","predicate1","short",1,"size"
"93",21,"cheese","food",1,"both","predicate1","new",1,"age"
"94",21,"chair","furniture",1,"both","predicate1","short",0.51,"size"
"95",25,"table","furniture",1,"both","predicate1","blue",0.51,"color"
"96",25,"box","furniture",1,"both","predicate1","wooden",0.05,"material"
"97",25,"tomato","food",1,"both","predicate1","plastic",0.95,"material"
"98",25,"apple","food",1,"both","predicate1","wooden",0.03,"material"
"99",25,"chair","furniture",1,"both","predicate1","light",0.96,"size"
"100",25,"watermelon","food",1,"both","predicate1","yellow",0.5,"color"
"101",25,"box","furniture",1,"both","predicate1","metal",0.02,"material"
"102",25,"bed","furniture",1,"both","predicate1","good",0.48,"quality"
"103",25,"potato","food",1,"both","predicate1","small",0.48,"size"
"104",25,"chair","furniture",1,"both","predicate1","big",0.48,"size"
"105",25,"watermelon","food",1,"both","predicate1","blue",0.49,"color"
"106",25,"couch","furniture",1,"both","predicate1","heavy",0.5,"size"
"107",25,"watermelon","food",1,"both","predicate1","brown",0.02,"color"
"108",25,"box","furniture",1,"both","predicate1","new",0.01,"age"
"109",25,"apple","food",1,"both","predicate1","short",0.5,"size"
"110",25,"table","furniture",1,"both","predicate1","new",0.49,"age"
"111",25,"bed","furniture",1,"both","predicate1","big",0.5,"size"
"112",25,"cheese","food",1,"both","predicate1","round",0.5,"shape"
"113",25,"tomato","food",1,"both","predicate1","new",0.02,"age"
"114",25,"chair","furniture",1,"both","predicate1","purple",0.98,"color"
"115",25,"box","furniture",1,"both","predicate1","long",0.49,"size"
"116",25,"apple","food",1,"both","predicate1","good",0.51,"quality"
"117",25,"watermelon","food",1,"both","predicate1","bad",0.95,"quality"
"118",25,"couch","furniture",1,"both","predicate1","short",0.5,"size"
"119",31,"potato","food",1,"both","predicate1","square",0.17,"shape"
"120",31,"apple","food",1,"both","predicate1","metal",0.01,"material"
"121",31,"bed","furniture",1,"both","predicate1","purple",0.02,"color"
"122",31,"apple","food",1,"both","predicate1","big",0.03,"size"
"123",31,"cheese","food",1,"both","predicate1","dry",0.03,"texture"
"124",31,"chair","furniture",1,"both","predicate1","soft",0.96,"texture"
"125",31,"chair","furniture",1,"both","predicate1","wooden",0.45,"material"
"126",31,"box","furniture",1,"both","predicate1","plastic",0.02,"material"
"127",31,"box","furniture",1,"both","predicate1","heavy",0.97,"size"
"128",31,"watermelon","food",1,"both","predicate1","fresh",0.95,"age"
"129",31,"box","furniture",1,"both","predicate1","green",0.8,"color"
"130",31,"watermelon","food",1,"both","predicate1","metal",0.88,"material"
"131",35,"box","furniture",1,"both","predicate1","new",0.93,"age"
"132",35,"cheese","food",1,"both","predicate1","short",0.02,"size"
"133",35,"chair","furniture",1,"both","predicate1","soft",0.02,"texture"
"134",35,"table","furniture",1,"both","predicate1","heavy",0.03,"size"
"135",35,"tomato","food",1,"both","predicate1","old",1,"age"
"136",35,"apple","food",1,"both","predicate1","yellow",0.99,"color"
"137",35,"box","furniture",1,"both","predicate1","big",0.97,"size"
"138",35,"watermelon","food",1,"both","predicate1","good",0.04,"quality"
"139",35,"apple","food",1,"both","predicate1","fresh",0.98,"age"
"140",35,"potato","food",1,"both","predicate1","old",0.98,"age"
"141",35,"tomato","food",1,"both","predicate1","round",0.02,"shape"
"142",36,"tomato","food",1,"both","predicate1","blue",0.86,"color"
"143",36,"apple","food",1,"both","predicate1","hard",0.06,"texture"
"144",36,"chair","furniture",1,"both","predicate1","blue",0.95,"color"
"145",36,"watermelon","food",1,"both","predicate1","metal",0.07,"material"
"146",36,"table","furniture",1,"both","predicate1","green",0.96,"color"
"147",36,"chair","furniture",1,"both","predicate1","red",0.96,"color"
"148",36,"box","furniture",1,"both","predicate1","dry",0.03,"texture"
"149",36,"apple","food",1,"both","predicate1","small",0.04,"size"
"150",36,"cheese","food",1,"both","predicate1","yellow",0.9,"color"
"151",36,"cheese","food",1,"both","predicate1","new",0.92,"age"
"152",36,"watermelon","food",1,"both","predicate1","light",0.05,"size"
"153",36,"couch","furniture",1,"both","predicate1","new",1,"age"
"154",36,"table","furniture",1,"both","predicate1","blue",0.89,"color"
"155",36,"table","furniture",1,"both","predicate1","good",0.94,"quality"
"156",36,"cheese","food",1,"both","predicate1","brown",1,"color"
"157",36,"potato","food",1,"both","predicate1","red",0.96,"color"
"158",36,"watermelon","food",1,"both","predicate1","round",0.98,"shape"
"159",36,"table","furniture",1,"both","predicate1","red",0.91,"color"
"160",36,"bed","furniture",1,"both","predicate1","plastic",0,"material"
"161",36,"couch","furniture",1,"both","predicate1","green",0.94,"color"
"162",36,"apple","food",1,"both","predicate1","hard",0.94,"texture"
"163",36,"couch","furniture",1,"both","predicate1","yellow",0.98,"color"
"164",36,"potato","food",1,"both","predicate1","big",0.05,"size"
"165",36,"tomato","food",1,"both","predicate1","light",0.99,"size"
"166",36,"box","furniture",1,"both","predicate1","fresh",0.06,"age"
"167",37,"apple","food",1,"both","predicate1","red",0,"color"
"168",37,"watermelon","food",1,"both","predicate1","purple",1,"color"
"169",37,"tomato","food",1,"both","predicate1","purple",1,"color"
"170",37,"table","furniture",1,"both","predicate1","red",1,"color"
"171",37,"table","furniture",1,"both","predicate1","plastic",0,"material"
"172",37,"watermelon","food",1,"both","predicate1","new",1,"age"
"173",37,"chair","furniture",1,"both","predicate1","purple",0,"color"
"174",37,"apple","food",1,"both","predicate1","big",1,"size"
"175",37,"watermelon","food",1,"both","predicate1","red",0,"color"
"176",37,"table","furniture",1,"both","predicate1","old",0,"age"
"177",37,"potato","food",1,"both","predicate1","metal",0,"material"
"178",37,"couch","furniture",1,"both","predicate1","green",0,"color"
"179",37,"apple","food",1,"both","predicate1","red",0,"color"
"180",37,"tomato","food",1,"both","predicate1","small",0,"size"
"181",37,"watermelon","food",1,"both","predicate1","good",0,"quality"
"182",37,"watermelon","food",1,"both","predicate1","yellow",0,"color"
"183",37,"box","furniture",1,"both","predicate1","small",0,"size"
"184",37,"cheese","food",1,"both","predicate1","wooden",0,"material"
"185",37,"apple","food",1,"both","predicate1","hard",0.05,"texture"
"186",37,"tomato","food",1,"both","predicate1","square",0.02,"shape"
"187",37,"couch","furniture",1,"both","predicate1","red",0.04,"color"
"188",37,"box","furniture",1,"both","predicate1","new",0.96,"age"
"189",37,"cheese","food",1,"both","predicate1","long",0.04,"size"
"190",37,"tomato","food",1,"both","predicate1","new",1,"age"
"191",37,"potato","food",1,"both","predicate1","brown",0.08,"color"
"192",37,"cheese","food",1,"both","predicate1","brown",0.96,"color"
"193",39,"bed","furniture",1,"both","predicate1","small",0.25,"size"
"194",39,"potato","food",1,"both","predicate1","yellow",0.92,"color"
"195",39,"apple","food",1,"both","predicate1","good",0.71,"quality"
"196",39,"apple","food",1,"both","predicate1","bad",0.63,"quality"
"197",39,"box","furniture",1,"both","predicate1","heavy",0.74,"size"
"198",39,"potato","food",1,"both","predicate1","bad",0.85,"quality"
"199",39,"bed","furniture",1,"both","predicate1","rotten",0.78,"age"
"200",39,"watermelon","food",1,"both","predicate1","rotten",0.29,"age"
"201",39,"chair","furniture",1,"both","predicate1","dry",0.68,"texture"
"202",39,"chair","furniture",1,"both","predicate1","wooden",0.74,"material"
"203",39,"cheese","food",1,"both","predicate1","fresh",0.26,"age"
"204",39,"box","furniture",1,"both","predicate1","metal",0.65,"material"
"205",39,"watermelon","food",1,"both","predicate1","fresh",0.71,"age"
"206",39,"tomato","food",1,"both","predicate1","hard",0.29,"texture"
"207",39,"table","furniture",1,"both","predicate1","wooden",0.76,"material"
"208",39,"watermelon","food",1,"both","predicate1","dry",0.28,"texture"
"209",39,"potato","food",1,"both","predicate1","short",0.8,"size"
"210",39,"tomato","food",1,"both","predicate1","new",0.26,"age"
"211",39,"bed","furniture",1,"both","predicate1","blue",0.23,"color"
"212",39,"chair","furniture",1,"both","predicate1","big",0.74,"size"
"213",39,"couch","furniture",1,"both","predicate1","brown",0.76,"color"
"214",39,"box","furniture",1,"both","predicate1","old",0.25,"age"
"215",40,"bed","furniture",1,"both","predicate1","new",0.98,"age"
"216",40,"chair","furniture",1,"both","predicate1","good",0.47,"quality"
"217",40,"chair","furniture",1,"both","predicate1","big",0.8,"size"
"218",40,"bed","furniture",1,"both","predicate1","long",0.62,"size"
"219",40,"table","furniture",1,"both","predicate1","bad",0.85,"quality"
"220",40,"bed","furniture",1,"both","predicate1","old",0.78,"age"
"221",40,"apple","food",1,"both","predicate1","brown",0.65,"color"
"222",40,"bed","furniture",1,"both","predicate1","big",0.76,"size"
"223",40,"chair","furniture",1,"both","predicate1","purple",0.45,"color"
"224",40,"tomato","food",1,"both","predicate1","yellow",0.21,"color"
"225",40,"chair","furniture",1,"both","predicate1","yellow",0.3,"color"
"226",40,"couch","furniture",1,"both","predicate1","brown",0.61,"color"
"227",40,"couch","furniture",1,"both","predicate1","big",0.34,"size"
"228",43,"box","furniture",1,"both","predicate1","red",0.33,"color"
"229",43,"watermelon","food",1,"both","predicate1","round",0.6,"shape"
"230",43,"tomato","food",1,"both","predicate1","big",0.35,"size"
"231",43,"cheese","food",1,"both","predicate1","small",0.62,"size"
"232",43,"bed","furniture",1,"both","predicate1","heavy",0.6,"size"
"233",43,"watermelon","food",1,"both","predicate1","long",0.3,"size"
"234",43,"cheese","food",1,"both","predicate1","bad",0.54,"quality"
"235",43,"tomato","food",1,"both","predicate1","long",0.62,"size"
"236",43,"potato","food",1,"both","predicate1","long",0.75,"size"
"237",43,"apple","food",1,"both","predicate1","short",0.71,"size"
"238",43,"apple","food",1,"both","predicate1","yellow",0.66,"color"
"239",43,"tomato","food",1,"both","predicate1","small",0.32,"size"
"240",43,"chair","furniture",1,"both","predicate1","plastic",0.22,"material"
"241",43,"bed","furniture",1,"both","predicate1","dry",0.3,"texture"
"242",43,"bed","furniture",1,"both","predicate1","purple",0.64,"color"
"243",43,"watermelon","food",1,"both","predicate1","old",0.67,"age"
"244",43,"table","furniture",1,"both","predicate1","dry",0.75,"texture"
"245",43,"couch","furniture",1,"both","predicate1","old",0.66,"age"
"246",43,"watermelon","food",1,"both","predicate1","big",0.69,"size"
"247",43,"chair","furniture",1,"both","predicate1","short",0.8,"size"
"248",43,"table","furniture",1,"both","predicate1","blue",0.82,"color"
"249",43,"table","furniture",1,"both","predicate1","heavy",0.76,"size"
"250",43,"watermelon","food",1,"both","predicate1","purple",0.17,"color"
"251",43,"couch","furniture",1,"both","predicate1","small",0.83,"size"
"252",43,"watermelon","food",1,"both","predicate1","light",0.85,"size"
"253",43,"cheese","food",1,"both","predicate1","plastic",0.89,"material"
"254",46,"potato","food",1,"both","predicate1","wooden",0,"material"
"255",46,"cheese","food",1,"both","predicate1","plastic",0.96,"material"
"256",46,"couch","furniture",1,"both","predicate1","rotten",0.97,"age"
"257",46,"box","furniture",1,"both","predicate1","short",0.98,"size"
"258",46,"chair","furniture",1,"both","predicate1","good",0.96,"quality"
"259",46,"watermelon","food",1,"both","predicate1","light",0.02,"size"
"260",46,"chair","furniture",1,"both","predicate1","soft",0.99,"texture"
"261",46,"bed","furniture",1,"both","predicate1","fresh",1,"age"
"262",46,"potato","food",1,"both","predicate1","purple",0.02,"color"
"263",46,"couch","furniture",1,"both","predicate1","yellow",0.03,"color"
"264",46,"chair","furniture",1,"both","predicate1","big",0.99,"size"
"265",46,"cheese","food",1,"both","predicate1","metal",0.98,"material"
"266",46,"chair","furniture",1,"both","predicate1","soft",0.97,"texture"
"267",46,"table","furniture",1,"both","predicate1","short",0.97,"size"
"268",46,"potato","food",1,"both","predicate1","dry",0.03,"texture"
"269",46,"apple","food",1,"both","predicate1","fresh",0.98,"age"
"270",46,"apple","food",1,"both","predicate1","round",0.98,"shape"
"271",46,"tomato","food",1,"both","predicate1","dry",0.98,"texture"
"272",46,"tomato","food",1,"both","predicate1","red",0.97,"color"
"273",46,"chair","furniture",1,"both","predicate1","small",0.96,"size"
"274",46,"chair","furniture",1,"both","predicate1","bad",0.02,"quality"
"275",46,"potato","food",1,"both","predicate1","long",0.97,"size"
"276",54,"couch","furniture",1,"both","predicate1","purple",1,"color"
"277",54,"tomato","food",1,"both","predicate1","red",0.02,"color"
"278",54,"potato","food",1,"both","predicate1","square",0.99,"shape"
"279",54,"cheese","food",1,"both","predicate1","soft",0.03,"texture"
"280",54,"bed","furniture",1,"both","predicate1","red",0.98,"color"
"281",54,"tomato","food",1,"both","predicate1","long",0.95,"size"
"282",54,"chair","furniture",1,"both","predicate1","yellow",0.98,"color"
"283",54,"chair","furniture",1,"both","predicate1","heavy",0.99,"size"
"284",54,"watermelon","food",1,"both","predicate1","good",0.98,"quality"
"285",54,"box","furniture",1,"both","predicate1","wooden",0.01,"material"
"286",54,"watermelon","food",1,"both","predicate1","bad",0.03,"quality"
"287",54,"potato","food",1,"both","predicate1","round",0.03,"shape"
"288",54,"bed","furniture",1,"both","predicate1","red",0.97,"color"
"289",54,"apple","food",1,"both","predicate1","dry",0,"texture"
"290",54,"potato","food",1,"both","predicate1","big",0.04,"size"
"291",54,"tomato","food",1,"both","predicate1","long",0.04,"size"
"292",54,"bed","furniture",1,"both","predicate1","plastic",0.02,"material"
"293",54,"box","furniture",1,"both","predicate1","small",0.97,"size"
"294",54,"couch","furniture",1,"both","predicate1","plastic",0.03,"material"
"295",54,"apple","food",1,"both","predicate1","hard",0.95,"texture"
"296",54,"chair","furniture",1,"both","predicate1","big",0.05,"size"
"297",54,"couch","furniture",1,"both","predicate1","purple",1,"color"
"298",54,"bed","furniture",1,"both","predicate1","square",0.04,"shape"
"299",54,"table","furniture",1,"both","predicate1","heavy",0.95,"size"
"300",58,"box","furniture",1,"both","predicate1","rotten",0.87,"age"
"301",58,"table","furniture",1,"both","predicate1","wooden",0.11,"material"
"302",58,"table","furniture",1,"both","predicate1","old",0.1,"age"
"303",58,"box","furniture",1,"both","predicate1","wooden",0.08,"material"
"304",58,"bed","furniture",1,"both","predicate1","square",0.6,"shape"
"305",58,"potato","food",1,"both","predicate1","fresh",0.93,"age"
"306",58,"bed","furniture",1,"both","predicate1","new",0.1,"age"
"307",58,"chair","furniture",1,"both","predicate1","fresh",0.64,"age"
"308",58,"box","furniture",1,"both","predicate1","blue",0.11,"color"
"309",58,"watermelon","food",1,"both","predicate1","yellow",0.1,"color"
"310",60,"apple","food",1,"both","predicate1","big",0.82,"size"
"311",60,"couch","furniture",1,"both","predicate1","brown",0.99,"color"
"312",60,"cheese","food",1,"both","predicate1","metal",0.16,"material"
"313",60,"bed","furniture",1,"both","predicate1","green",0.09,"color"
"314",60,"apple","food",1,"both","predicate1","fresh",1,"age"
"315",60,"watermelon","food",1,"both","predicate1","good",0.12,"quality"
"316",60,"chair","furniture",1,"both","predicate1","light",0.98,"size"
"317",60,"couch","furniture",1,"both","predicate1","soft",0.2,"texture"
"318",60,"table","furniture",1,"both","predicate1","green",0.07,"color"
"319",60,"table","furniture",1,"both","predicate1","wooden",0.05,"material"
"320",60,"tomato","food",1,"both","predicate1","hard",0.46,"texture"
"321",60,"chair","furniture",1,"both","predicate1","rotten",0.1,"age"
"322",60,"chair","furniture",1,"both","predicate1","wooden",0.98,"material"
"323",60,"tomato","food",1,"both","predicate1","red",0.99,"color"
"324",60,"bed","furniture",1,"both","predicate1","blue",0.98,"color"
"325",60,"table","furniture",1,"both","predicate1","square",0.51,"shape"
"326",60,"apple","food",1,"both","predicate1","fresh",0.98,"age"
"327",60,"bed","furniture",1,"both","predicate1","short",0.33,"size"
"328",60,"chair","furniture",1,"both","predicate1","heavy",0.97,"size"
"329",60,"tomato","food",1,"both","predicate1","bad",0.98,"quality"
"330",60,"couch","furniture",1,"both","predicate1","new",0.01,"age"
"331",60,"table","furniture",1,"both","predicate1","dry",0.98,"texture"
"332",63,"box","furniture",1,"both","predicate1","round",0.77,"shape"
"333",63,"tomato","food",1,"both","predicate1","small",0.77,"size"
"334",63,"apple","food",1,"both","predicate1","green",0.16,"color"
"335",63,"apple","food",1,"both","predicate1","wooden",0.77,"material"
"336",63,"table","furniture",1,"both","predicate1","plastic",0.14,"material"
"337",63,"potato","food",1,"both","predicate1","bad",0.81,"quality"
"338",63,"table","furniture",1,"both","predicate1","wooden",0.8,"material"
"339",63,"couch","furniture",1,"both","predicate1","short",0.14,"size"
"340",63,"couch","furniture",1,"both","predicate1","wooden",0.12,"material"
"341",63,"cheese","food",1,"both","predicate1","square",0.81,"shape"
"342",63,"cheese","food",1,"both","predicate1","bad",0.8,"quality"
"343",63,"tomato","food",1,"both","predicate1","bad",0.68,"quality"
"344",63,"apple","food",1,"both","predicate1","long",0.99,"size"
"345",63,"box","furniture",1,"both","predicate1","short",0.27,"size"
"346",63,"box","furniture",1,"both","predicate1","long",0.79,"size"
"347",75,"apple","food",1,"both","predicate1","heavy",0,"size"
"348",75,"tomato","food",1,"both","predicate1","rotten",0,"age"
"349",75,"tomato","food",1,"both","predicate1","green",1,"color"
"350",75,"cheese","food",1,"both","predicate1","fresh",1,"age"
"351",75,"box","furniture",1,"both","predicate1","heavy",1,"size"
"352",75,"couch","furniture",1,"both","predicate1","dry",1,"texture"
"353",75,"table","furniture",1,"both","predicate1","purple",0,"color"
"354",75,"apple","food",1,"both","predicate1","red",1,"color"
"355",75,"watermelon","food",1,"both","predicate1","dry",0,"texture"
"356",75,"cheese","food",1,"both","predicate1","long",0,"size"
"357",75,"bed","furniture",1,"both","predicate1","rotten",0,"age"
"358",75,"watermelon","food",1,"both","predicate1","blue",1,"color"
"359",75,"bed","furniture",1,"both","predicate1","purple",0.96,"color"
"360",75,"potato","food",1,"both","predicate1","yellow",0.97,"color"
"361",75,"bed","furniture",1,"both","predicate1","hard",1,"texture"
"362",75,"potato","food",1,"both","predicate1","good",1,"quality"
"363",75,"cheese","food",1,"both","predicate1","new",1,"age"
"364",75,"bed","furniture",1,"both","predicate1","brown",0,"color"
"365",75,"tomato","food",1,"both","predicate1","plastic",0,"material"
"366",75,"watermelon","food",1,"both","predicate1","square",0,"shape"
"367",75,"table","furniture",1,"both","predicate1","heavy",0,"size"
"368",75,"watermelon","food",1,"both","predicate1","brown",0,"color"
"369",75,"table","furniture",1,"both","predicate1","dry",0,"texture"
"370",75,"couch","furniture",1,"both","predicate1","heavy",0,"size"
"371",75,"bed","furniture",1,"both","predicate1","bad",0,"quality"
"372",75,"couch","furniture",1,"both","predicate1","metal",0.01,"material"
"373",76,"apple","food",1,"both","predicate1","yellow",0.8,"color"
"374",76,"box","furniture",1,"both","predicate1","small",0.84,"size"
"375",76,"chair","furniture",1,"both","predicate1","hard",0.09,"texture"
"376",76,"table","furniture",1,"both","predicate1","long",0.87,"size"
"377",76,"chair","furniture",1,"both","predicate1","red",0.9,"color"
"378",76,"potato","food",1,"both","predicate1","small",0.92,"size"
"379",76,"table","furniture",1,"both","predicate1","wooden",0.06,"material"
"380",76,"bed","furniture",1,"both","predicate1","long",0.08,"size"
"381",76,"chair","furniture",1,"both","predicate1","plastic",0.9,"material"
"382",76,"cheese","food",1,"both","predicate1","square",0.05,"shape"
"383",83,"table","furniture",1,"both","predicate1","wooden",0.58,"material"
"384",83,"couch","furniture",1,"both","predicate1","blue",0.11,"color"
"385",83,"table","furniture",1,"both","predicate1","blue",0.03,"color"
"386",83,"potato","food",1,"both","predicate1","short",1,"size"
"387",83,"watermelon","food",1,"both","predicate1","soft",0.98,"texture"
"388",83,"box","furniture",1,"both","predicate1","soft",0.18,"texture"
"389",83,"cheese","food",1,"both","predicate1","dry",0.33,"texture"
"390",83,"couch","furniture",1,"both","predicate1","new",0.23,"age"
"391",83,"box","furniture",1,"both","predicate1","plastic",0.28,"material"
"392",83,"watermelon","food",1,"both","predicate1","purple",0.27,"color"
"393",83,"box","furniture",1,"both","predicate1","metal",0.19,"material"
"394",83,"cheese","food",1,"both","predicate1","square",0.21,"shape"
"395",83,"cheese","food",1,"both","predicate1","yellow",0.16,"color"
"396",83,"apple","food",1,"both","predicate1","bad",0.71,"quality"
"397",83,"couch","furniture",1,"both","predicate1","long",0.35,"size"
"398",83,"chair","furniture",1,"both","predicate1","old",0.31,"age"
"399",83,"watermelon","food",1,"both","predicate1","light",0.34,"size"
"400",84,"watermelon","food",1,"both","predicate1","heavy",0.81,"size"
"401",84,"box","furniture",1,"both","predicate1","bad",0.84,"quality"
"402",84,"cheese","food",1,"both","predicate1","metal",0.13,"material"
"403",84,"potato","food",1,"both","predicate1","rotten",0.09,"age"
"404",84,"tomato","food",1,"both","predicate1","good",0.82,"quality"
"405",84,"apple","food",1,"both","predicate1","purple",0.08,"color"
"406",84,"couch","furniture",1,"both","predicate1","round",0.87,"shape"
"407",84,"cheese","food",1,"both","predicate1","round",0.88,"shape"
"408",84,"tomato","food",1,"both","predicate1","new",0.86,"age"
"409",84,"couch","furniture",1,"both","predicate1","metal",0.08,"material"
"410",84,"watermelon","food",1,"both","predicate1","plastic",0.16,"material"
"411",84,"potato","food",1,"both","predicate1","dry",0.86,"texture"
"412",84,"chair","furniture",1,"both","predicate1","plastic",0.11,"material"
"413",84,"watermelon","food",1,"both","predicate1","green",0.14,"color"
"414",84,"apple","food",1,"both","predicate1","wooden",0.1,"material"
"415",84,"couch","furniture",1,"both","predicate1","light",0.89,"size"
"416",84,"box","furniture",1,"both","predicate1","light",0.86,"size"
"417",84,"couch","furniture",1,"both","predicate1","square",0.1,"shape"
"418",84,"cheese","food",1,"both","predicate1","dry",0.14,"texture"
"419",84,"watermelon","food",1,"both","predicate1","good",0.88,"quality"
"420",84,"watermelon","food",1,"both","predicate1","light",0.08,"size"
"421",84,"apple","food",1,"both","predicate1","rotten",0.14,"age"
"422",84,"apple","food",1,"both","predicate1","good",0.1,"quality"
